canonical_name,aliases,country,industry,company_tier,approved,approval_basis,source_url,last_verified,review_status
Access Bank Plc,Access Bank|Access Bank Nigeria|Access Holdings,Nigeria,Financial Services,A,true,Major regulated bank with national scale,https://www.accessbankplc.com/,2026-08-05,seed_for_owner_review
First Bank of Nigeria Limited,FirstBank|First Bank|FBN,Nigeria,Financial Services,A,true,Major regulated bank with national scale,https://www.firstbanknigeria.com/,2026-08-05,seed_for_owner_review
United Bank for Africa Plc,UBA|UBA Group|United Bank for Africa,Nigeria,Financial Services,A,true,Major pan-African bank with Nigerian headquarters,https://www.ubagroup.com/,2026-08-05,seed_for_owner_review
Zenith Bank Plc,Zenith|Zenith Bank Nigeria,Nigeria,Financial Services,A,true,Major regulated bank with national scale,https://www.zenithbank.com/,2026-08-05,seed_for_owner_review
Guaranty Trust Holding Company Plc,GTCO|GTBank|Guaranty Trust Bank|GTB,Nigeria,Financial Services,A,true,Major regulated financial group and bank,https://www.gtco.com/,2026-08-05,seed_for_owner_review
Stanbic IBTC Holdings Plc,Stanbic IBTC|Stanbic IBTC Bank,Nigeria,Financial Services,A,true,Major regulated financial group,https://www.stanbicibtc.com/,2026-08-05,seed_for_owner_review
Ecobank Nigeria Limited,Ecobank Nigeria|Ecobank,Nigeria,Financial Services,A,true,Major pan-African bank with substantial Nigerian operations,https://www.ecobank.com/ng/personal-banking,2026-08-05,seed_for_owner_review
Fidelity Bank Plc,Fidelity Bank|Fidelity Nigeria,Nigeria,Financial Services,B,true,Large regulated Nigerian bank,https://www.fidelitybank.ng/,2026-08-05,seed_for_owner_review
First City Monument Bank Limited,FCMB|FCMB Group|First City Monument Bank,Nigeria,Financial Services,B,true,Large regulated Nigerian bank and financial group,https://www.fcmb.com/,2026-08-05,seed_for_owner_review
Sterling Bank Limited,Sterling Bank|Sterling,Nigeria,Financial Services,B,true,Established regulated Nigerian bank,https://sterling.ng/,2026-08-05,seed_for_owner_review
Wema Bank Plc,Wema|Wema Bank|ALAT,Nigeria,Financial Services,B,true,Established regulated Nigerian bank with strong digital operations,https://www.wemabank.com/,2026-08-05,seed_for_owner_review
Standard Chartered Bank Nigeria Limited,Standard Chartered Nigeria|Standard Chartered,Nigeria,Financial Services,A,true,Major international bank operating in Nigeria,https://www.sc.com/ng/,2026-08-05,seed_for_owner_review
Citibank Nigeria Limited,Citi Nigeria|Citibank Nigeria|Citi,Nigeria,Financial Services,A,true,Major international bank operating in Nigeria,https://www.citigroup.com/global/about-us/global-presence/nigeria,2026-08-05,seed_for_owner_review
Union Bank of Nigeria Plc,Union Bank Nigeria|Union Bank,Nigeria,Financial Services,B,true,Long-established regulated Nigerian bank,https://www.unionbankng.com/,2026-08-05,seed_for_owner_review
Polaris Bank Limited,Polaris Bank|Polaris,Nigeria,Financial Services,B,true,Large regulated Nigerian bank,https://www.polarisbanklimited.com/,2026-08-05,seed_for_owner_review
ProvidusBank Limited,Providus Bank|ProvidusBank,Nigeria,Financial Services,B,true,Established commercial bank with corporate and digital operations,https://www.providusbank.com/,2026-08-05,seed_for_owner_review
Jaiz Bank Plc,Jaiz|Jaiz Bank,Nigeria,Financial Services,B,true,National non-interest bank,https://jaizbankplc.com/,2026-08-05,seed_for_owner_review
Nigerian Inter-Bank Settlement System Plc,NIBSS|Nigeria Inter-Bank Settlement System,Nigeria,Financial Infrastructure,A,true,Systemically important national payments infrastructure,https://nibss-plc.com.ng/,2026-08-05,seed_for_owner_review
Nigerian Exchange Group Plc,NGX Group|NGX|Nigerian Exchange,Nigeria,Financial Infrastructure,A,true,National capital-market infrastructure group,https://ngxgroup.com/,2026-08-05,seed_for_owner_review
FMDQ Group Plc,FMDQ|FMDQ Group,Nigeria,Financial Infrastructure,A,true,Major Nigerian financial-market infrastructure group,https://fmdqgroup.com/,2026-08-05,seed_for_owner_review
Central Securities Clearing System Plc,CSCS|CSCS Plc,Nigeria,Financial Infrastructure,A,true,Systemically important capital-market infrastructure,https://www.cscs.ng/,2026-08-05,seed_for_owner_review
ARM Holding Company Limited,ARM|Asset and Resource Management,Nigeria,Investment Management,B,true,Large established Nigerian financial-services group,https://www.arm.com.ng/,2026-08-05,seed_for_owner_review
Coronation Group Limited,Coronation|Coronation Group,Nigeria,Financial Services,B,true,Established Nigerian financial-services group,https://www.coronation.ng/,2026-08-05,seed_for_owner_review
Chapel Hill Denham,Chapel Hill Denham|CHD,Nigeria,Investment Management,B,true,Leading Nigerian investment-banking and asset-management firm,https://www.chapelhilldenham.com/,2026-08-05,seed_for_owner_review
FBNQuest Merchant Bank Limited,FBNQuest|FBN Quest,Nigeria,Investment Banking,B,true,Major Nigerian investment-banking platform,https://www.fbnquest.com/,2026-08-05,seed_for_owner_review
Leadway Assurance Company Limited,Leadway|Leadway Assurance,Nigeria,Insurance,B,true,Large established Nigerian insurer,https://www.leadway.com/,2026-08-05,seed_for_owner_review
AXA Mansard Insurance Plc,AXA Mansard|Mansard,Nigeria,Insurance,B,true,Major insurer with international group backing,https://www.axamansard.com/,2026-08-05,seed_for_owner_review
AIICO Insurance Plc,AIICO|AIICO Insurance,Nigeria,Insurance,B,true,Large listed Nigerian insurer,https://www.aiicoplc.com/,2026-08-05,seed_for_owner_review
Custodian Investment Plc,Custodian|Custodian Investment,Nigeria,Insurance,B,true,Large Nigerian financial-services and insurance group,https://www.custodianplc.com.ng/,2026-08-05,seed_for_owner_review
MTN Nigeria Communications Plc,MTN Nigeria|MTNN|MTN,Nigeria,Telecommunications,A,true,Largest-scale telecom operator and major listed technology employer,https://www.mtn.ng/,2026-08-05,seed_for_owner_review
Airtel Networks Limited,Airtel Nigeria|Airtel Networks|Airtel,Nigeria,Telecommunications,A,true,Major national telecom operator,https://www.airtel.com.ng/,2026-08-05,seed_for_owner_review
Globacom Limited,Glo|Globacom|Glo Nigeria,Nigeria,Telecommunications,A,true,Major national telecom operator,https://www.gloworld.com/ng/,2026-08-05,seed_for_owner_review
Emerging Markets Telecommunication Services Limited,T2 Mobile|T2mobile|T2|9mobile|Etisalat Nigeria|EMTS,Nigeria,Telecommunications,B,true,National telecom operator,https://www.t2mobile.com.ng/,2026-08-05,seed_for_owner_review
IHS Nigeria Limited,IHS Towers|IHS Nigeria|IHS,Nigeria,Telecommunications Infrastructure,A,true,Major telecom infrastructure operator,https://www.ihstowers.com/,2026-08-05,seed_for_owner_review
MainOne Cable Company Nigeria Limited,MainOne|Main One|Equinix MainOne,Nigeria,Data Infrastructure,A,true,Major West African data-centre and connectivity operator,https://www.mainone.net/,2026-08-05,seed_for_owner_review
Rack Centre Limited,Rack Centre|RackCentre,Nigeria,Data Infrastructure,B,true,Leading carrier-neutral Nigerian data-centre operator,https://rack-centre.com/,2026-08-05,seed_for_owner_review
ipNX Nigeria Limited,ipNX|ipNX Nigeria,Nigeria,Internet Services,B,true,Large established Nigerian internet and enterprise-network provider,https://www.ipnxnigeria.net/,2026-08-05,seed_for_owner_review
Ericsson Nigeria Limited,Ericsson Nigeria|Ericsson,Nigeria,Telecommunications Technology,A,true,Major multinational telecom-technology employer,https://www.ericsson.com/en/about-us/company-facts/ericsson-worldwide/nigeria,2026-08-05,seed_for_owner_review
Huawei Technologies Company Nigeria Limited,Huawei Nigeria|Huawei Technologies Nigeria|Huawei,Nigeria,Technology,A,true,Major multinational technology and telecom-infrastructure employer,https://www.huawei.com/ng/,2026-08-05,seed_for_owner_review
Microsoft Nigeria Limited,Microsoft Nigeria|Microsoft,Nigeria,Technology,A,true,Global technology leader with Nigerian operations,https://www.microsoft.com/en-ng/,2026-08-05,seed_for_owner_review
Google Nigeria Limited,Google Nigeria|Google,Nigeria,Technology,A,true,Global technology leader with Nigerian operations,https://about.google/intl/en_ng/,2026-08-05,seed_for_owner_review
IBM West Africa,IBM Nigeria|IBM West Africa|IBM,Nigeria,Technology,A,true,Global enterprise-technology company operating in Nigeria,https://www.ibm.com/planetwide/ng/,2026-08-05,seed_for_owner_review
Oracle Nigeria,Oracle Nigeria|Oracle,Nigeria,Technology,A,true,Global enterprise-software company operating in Nigeria,https://www.oracle.com/ng/,2026-08-05,seed_for_owner_review
SAP West Africa,SAP Nigeria|SAP West Africa|SAP,Nigeria,Technology,A,true,Global enterprise-software company serving Nigeria,https://www.sap.com/africa/index.html,2026-08-05,seed_for_owner_review
Cisco Systems Nigeria,Cisco Nigeria|Cisco,Nigeria,Technology,A,true,Global networking and enterprise-technology company,https://www.cisco.com/c/en_ng/index.html,2026-08-05,seed_for_owner_review
Dell Technologies Nigeria,Dell Nigeria|Dell Technologies Nigeria|Dell,Nigeria,Technology,B,true,Global enterprise-technology company operating in Nigeria,https://www.dell.com/en-ng,2026-08-05,seed_for_owner_review
HP Nigeria,HP Nigeria|Hewlett Packard Nigeria|HP,Nigeria,Technology,B,true,Global technology company operating in Nigeria,https://www.hp.com/ng-en/home.html,2026-08-05,seed_for_owner_review
Interswitch Group,Interswitch|Interswitch Nigeria|Verve,Nigeria,Fintech,A,true,Large Nigerian payments and digital-commerce group,https://www.interswitchgroup.com/,2026-08-05,seed_for_owner_review
Flutterwave Inc.,Flutterwave|Flutterwave Nigeria,Nigeria,Fintech,A,true,Leading African payments technology company with Nigerian operations,https://flutterwave.com/,2026-08-05,seed_for_owner_review
Paystack Payments Limited,Paystack|Paystack Nigeria,Nigeria,Fintech,A,true,Leading Nigerian payments technology company,https://paystack.com/,2026-08-05,seed_for_owner_review
Moniepoint Inc.,Moniepoint|Moniepoint MFB|TeamApt,Nigeria,Fintech,A,true,Leading Nigerian business-banking and payments technology company,https://moniepoint.com/,2026-08-05,seed_for_owner_review
OPay Digital Services Limited,OPay|OPay Nigeria|Opera Pay,Nigeria,Fintech,A,true,Large Nigerian mobile-money and payments platform,https://www.opayweb.com/,2026-08-05,seed_for_owner_review
